% Johnson, T.C.; Werne, J.P.; Brown, E.T.; Abbott, A.; Berke, M.; Steinman,
% B.A.; Halbur, J.; Contreras, S.; Grosshuesch, S.; Deino, A.L.; Lyons,
% R.P.; Scholz, C.A.; Schouten, S.; Sinninghe Damste, J.S. (2016): A
% Progressively Wetter Climate In Southern East Africa Over The Past 1.3
% Million Years. ­doi:10.1038/nature19065 Nature
%
% Re-scaled Ca 20 pt smth
% YBP	Ca 20 pt smth
27543.79902	1.159075
27570.14706	1.1603
27596.4951	1.159825
27622.84314	1.162925
27649.19118	1.171925
27675.53922	1.171975
27701.88725	1.1723
27728.23529	1.17705
27754.58333	1.1867
27780.93137	1.196
27807.27941	1.20475
27833.62745	1.206325
27859.97549	1.21195
27886.32353	1.21255
27912.67157	1.215825
27939.01961	1.21585
27965.36765	1.211225
27991.71569	1.210725
28018.06373	1.20615
28044.41176	1.208425
28070.7598	1.207675
28097.10784	1.210475
28123.45588	1.20815
28149.80392	1.207425
28176.15196	1.200175
28202.5	1.200125
28228.84804	1.2023
28255.19608	1.196275
28281.54412	1.214425
28307.89216	1.286075
28334.2402	1.3057
28360.58824	1.30885
28386.93627	1.3097
28413.28431	1.3108
28439.63235	1.307575
28465.98039	1.306175
28492.32843	1.3082
28518.67647	1.30825
28545.02451	1.304925
28571.37255	1.302525
28597.72059	1.3076
28708.38235	1.3
28734.73039	1.29955
28761.07843	1.29595
28787.42647	1.299175
28813.77451	1.296275
28840.12255	1.2892
28866.47059	1.286975
28892.81863	1.262325
28919.16667	1.1855
28945.51471	1.15735
28971.86275	1.15425
28998.21078	1.150925
29024.55882	1.149675
29050.90686	1.149375
29077.2549	1.1457
29103.60294	1.143675
29129.95098	1.1379
29156.29902	1.14205
29182.64706	1.1374
29208.9951	1.13155
29235.34314	1.14105
29261.69118	1.1454
29288.03922	1.1451
29314.38725	1.1407
29340.73529	1.1416
29367.08333	1.14435
29393.43137	1.146875
29419.77941	1.144325
29446.12745	1.13935
29472.47549	1.138175
29498.82353	1.137925
29525.17157	1.137575
29551.51961	1.134025
29577.86765	1.130925
29604.21569	1.13015
29630.56373	1.126025
29656.91176	1.130575
29683.2598	1.130975
29709.60784	1.13365
29735.95588	1.127625
29762.30392	1.118425
29788.65196	1.111175
29815	1.104825
29841.34804	1.10375
29867.69608	1.096975
29894.04412	1.09385
29920.39216	1.088775
29946.7402	1.087825
29973.08824	1.086225
29999.43627	1.085725
30025.78431	1.08265
30052.13235	1.081275
30078.48039	1.0844
30104.82843	1.089275
30131.17647	1.092925
30157.52451	1.098925
30183.87255	1.09635
30210.22059	1.0937
30236.56863	1.097025
30262.91667	1.10595
30289.26471	1.1145
30315.61275	1.1232
30341.96078	1.137525
30368.30882	1.15615
30394.65686	1.223575
30421.0049	1.281975
30447.35294	1.30585
30473.70098	1.314275
30500.04902	1.321725
30526.39706	1.3221
30552.7451	1.32745
30579.09314	1.329025
30605.44118	1.330875
30631.78922	1.330275
30658.13725	1.332375
30684.48529	1.330625
30710.83333	1.330775
30737.18137	1.3298
30763.52941	1.320775
30789.87745	1.3115
30816.22549	1.3032
30842.57353	1.294825
30868.92157	1.281125
30896.11772	1.265275
