%Depth	TC [%]	TIC [%]	TOC [%]
135.53	0.69	0.62	0.07
135.85	4.30	4.16	0.14
136.17	3.03	2.87	0.16
136.49	2.90	2.80	0.10
136.81	1.99	1.82	0.17
137.13	2.63	2.56	0.07
137.45	3.34	3.16	0.18
137.77	3.97	3.77	0.20
138.09	3.89	3.66	0.23
138.67	1.62	1.51	0.11
138.99	3.59	3.21	0.38
139.31	1.72	1.44	0.28
139.63	2.17	2.05	0.12
139.95	1.11	0.87	0.24
140.27	1.85	1.60	0.25
140.62	2.61	2.45	0.16
140.93	2.63	2.58	0.05
141.25	1.80	1.69	0.11
141.57	1.67	1.55	0.12
141.89	3.95	3.83	0.12
142.21	0.40	0.22	0.18
142.52	0.50	0.26	0.24
142.84	0.35	0.09	0.26
143.16	0.43	0.20	0.22
143.47	0.49	0.24	0.25
143.79	0.40	0.06	0.34
145.44	0.41	0.32	0.09
146.08	0.66	0.20	0.46
146.40	0.62	0.06	0.56
146.72	0.71	0.06	0.64
147.01	0.64	0.03	0.61
147.67	0.62	0.13	0.48
148.31	0.62	0.08	0.54
148.63	0.74	0.08	0.65
148.95	0.73	0.08	0.65
149.27	0.79	0.16	0.62
149.91	0.76	0.16	0.60
150.22	1.04	0.11	0.93
150.54	6.10	5.53	0.57
150.86	1.33	0.98	0.35
151.48	3.08	2.87	0.21
152.00	3.08	2.94	0.15
152.32	1.68	1.58	0.10
152.96	1.26	1.23	0.03
153.09	0.95	0.81	0.14
153.41	1.10	1.02	0.09
153.73	0.92	0.83	0.10
154.05	0.59	0.42	0.17
154.50	0.31	0.17	0.14
154.62	0.38	0.30	0.08
154.94	0.24	0.14	0.10
155.26	0.53	0.38	0.15
155.58	0.41	0.29	0.12
156.87	0.53	0.31	0.22
157.19	0.70	0.46	0.24
157.51	0.52	0.11	0.40
157.83	0.28	0.10	0.18
158.63	0.53	0.14	0.38
158.94	0.47	0.10	0.37
159.26	0.44	0.05	0.40
159.58	0.52	0.11	0.41
