%1	2	3	4	5	6
%depth 	Smectite abundance	Illite abundance	Analcime 	Analcime	Smectite Inverted 
%midpoint mcd	group	group	group	intensity	group
230.992	6	9	0	2620	-6
231.312	6	6	1	3330	-6
231.607	7	6	1	3070	-7
232.012	6	9	1	2750	-6
232.332	8	6	0	2890	-8
232.652	9	5	1	3020	-9
232.967	10	6	0	2890	-10
233.287	8	5	1	3160	-8
233.607	1	7	3	3490	-1
234.236	5	8	4	4740	-5
234.345	NaN	NaN	6	6650	-6
234.795	1	7	4	4430	-1
235.111	1	8	5	5360	-1
235.431	1	8	5	5420	-1
235.751	1	8	5	5910	-1
236.071	1	8	5	5560	-1
236.391	1	8	5	5420	-1
236.706	1	9	7	7110	-1
237.026	1	9	7	7490	-1
237.346	2	9	7	7870	-2
237.666	2	9	9	9530	-2
237.986	3	8	9	9870	-3
238.298	6	8	7	7790	-6
238.618	7	8	8	7490	-7
238.938	6	6	8	8420	-6
239.258	7	8	7	7380	-7
239.578	7	6	5	5020	-7
239.901	7	7	7	7030	-7
240.221	1	7	5	5020	-1
240.541	1	7	4	4830	-1
240.861	1	8	5	5010	-1
241.181	1	8	5	5360	-1
241.501	1	8	4	4890	-1
241.821	1	7	6	6660	-1
242.141	1	7	6	6660	-1
242.462	5	5	6	6600	-5
242.782	5	6	10	10290	-5
242.939	7	3	9	9690	-7
243.102	5	6	9	9580	-5
243.422	5	6	11	11090	-5
243.44	7	3	9	9870	-7
243.578	7	3	7	7270	-7
243.898	9	7	8	8140	-9
244.218	10	3	9	9660	-10
244.538	8	2	10	10190	-8
244.858	10	3	9	9200	-10
244.934	10	2	9	9000	-10
245.257	5	2	3	3970	-5
245.577	7	6	6	6230	-7
245.897	9	1	3	3720	-9
246.209	9	2	4	4220	-9
246.529	8	3	4	4980	-8
246.849	7	4	3	3840	-7
247.174	8	3	1	3190	-8
247.494	8	3	1	3190	-8
247.814	8	1	1	3300	-8
248.129	8	3	2	3460	-8
248.374	8	7	4	4010	-8
248.694	8	7	3	3750	-8
249.004	5	6	1	3030	-5
249.227	6	8	0	3020	-6
249.547	7	5	1	3160	-7
249.978	7	5	0	3040	-7
250.298	8	6	0	2980	-8
250.618	8	6	0	2920	-8
250.938	7	7	0	2920	-7
251.258	7	8	0	3040	-7
251.429	7	9	0	2830	-7
251.749	7	8	0	2830	-7
252.069	2	2	0	2360	-2
252.426	4	4	0	2610	-4
252.746	5	6	0	2860	-5
253.066	5	6	0	2860	-5
253.356	5	5	0	2860	-5
253.708	6	6	0	2860	-6
254.028	7	3	0	2920	-7
254.3605	7	5	0	2980	-7
254.818	8	6	0	2950	-8
255.89	8	8	0	2950	-8
256.208	9	6	0	3030	-9
256.248	8	4	0	3040	-8
256.508	9	2	0	2910	-9
256.533	8	6	0	3080	-8
256.703	5	6	0	2610	-5
256.853	8	4	0	2610	-8
257.484	7	6	0	3010	-7
257.804	8	4	0	3010	-8
259.392	8	6	0	2980	-8
259.494	6	7	0	2790	-6
259.712	8	7	0	3090	-8
259.814	7	8	0	2790	-7
260.032	8	8	0	2900	-8
260.352	8	7	0	3040	-8
260.672	8	7	0	3040	-8
261.21	7	8	0	2900	-7
261.531	7	9	0	2680	-7
261.847	6	10	0	2830	-6
262.16	5	9	0	3000	-5
262.94	1	6	1	2520	-1
263.287	1	7	0	2830	-1
263.56	1	7	0	2810	-1
263.607	1	7	0	2880	-1
263.727	2	7	0	2860	-2
263.927	2	7	0	2880	-2
264.238	2	7	0	2880	-2
264.558	4	5	0	3000	-4
265.201	5	7	0	2880	-5
265.521	6	6	0	2880	-6
266.077	7	8	0	2750	-7
266.397	8	6	0	2900	-8
267.041	8	6	0	3090	-8
267.361	8	5	0	3090	-8
267.683	8	6	0	3090	-8
268.003	8	6	0	3090	-8
268.323	9	6	0	3020	-9
