% Splice Depth (mcd)	KG-Mean (µm)
280.369	9.372
280.691	7.765
281.011	6.434
281.331	6.896
281.641	4.96
281.744	10.68
281.966	4.099
282.064	17.56
282.286	4.702
282.379	15.4
282.606	4.672
282.699	18.6
283.019	20.13
283.344	13.18
283.664	6.11
283.984	16.76
284.304	11.19
284.624	29.21
284.944	23.76
285.264	23.18
285.584	6.026
285.898	16.68
286.218	18.04
286.538	13.01
286.863	26.85
287.183	30.16
287.503	34.09
287.813	13.51
288.133	14.15
288.453	14.67
288.773	8.109
289.093	15.36
289.413	17.13
289.733	10.66
290.053	20.62
290.373	27.41
290.693	37.47
291.008	31.88
291.328	38.48
291.648	31.5
291.973	162.8
292.293	62.56
